experiment_id,learning_rate,batch_size,weight_decay,best_val_accuracy,epochs_trained
4,1e-05,16,0.01,0.9375,8
6,1e-05,16,1.0,0.937,9
2,1e-05,8,0.1,0.9325,5
5,1e-05,16,0.1,0.9415,10
1,1e-05,8,0.01,0.9365,6
7,1e-05,32,0.01,0.93,10
8,1e-05,32,0.1,0.931,9
9,1e-05,32,1.0,0.932,9
3,1e-05,8,1.0,0.939,10
13,3e-05,16,0.01,0.94,6
10,3e-05,8,0.01,0.941,5
14,3e-05,16,0.1,0.9395,6
11,3e-05,8,0.1,0.9385,5
16,3e-05,32,0.01,0.9335,4
12,3e-05,8,1.0,0.942,5
17,3e-05,32,0.1,0.9385,7
18,3e-05,32,1.0,0.9355,6
15,3e-05,16,1.0,0.9395,7
22,0.0001,16,0.01,0.937,5
23,0.0001,16,0.1,0.9395,5
19,0.0001,8,0.01,0.9385,4
25,0.0001,32,0.01,0.9365,5
27,0.0001,32,1.0,0.9395,7
26,0.0001,32,0.1,0.9385,9
20,0.0001,8,0.1,0.94,6
24,0.0001,16,1.0,0.9395,7
21,0.0001,8,1.0,0.9415,6
